LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott647692,Struthio camelus
ott3600823,Struthio molybdophanes
ott857864,Rhea americana
ott857860,Rhea pennata
ott3600814,Nothocercus julius
ott3600815,Nothocercus bonapartei
ott3600813,Nothocercus nigrocapillus
ott466704,Tinamus tao
ott3600785,Tinamus solitarius
ott3600786,Tinamus osgoodi
ott402466,Tinamus major
ott306216,Tinamus guttatus
ott647586,Crypturellus cinereus
ott3600796,Crypturellus berlepschi
ott960236,Crypturellus soui
ott3600793,Crypturellus ptaritepui
ott983480,Crypturellus obsoletus
ott870607,Crypturellus undulatus
ott3600794,Crypturellus transfasciatus
ott167137,Crypturellus strigulosus
ott3600790,Crypturellus duidae
ott589927,Crypturellus erythropus
ott3600789,Crypturellus noctivagus
ott3600795,Crypturellus atrocapillus
ott3600799,Crypturellus boucardi
ott3600797,Crypturellus kerriae
ott983483,Crypturellus variegatus
ott3600791,Crypturellus cinnamomeus
ott647584,Crypturellus brevirostris
ott3600798,Crypturellus bartletti
ott379420,Crypturellus parvirostris
ott3600788,Crypturellus casiquiare
ott758347,Crypturellus tataupa
ott224379,Rhynchotus rufescens
ott3600787,Rhynchotus maculicollis
ott3600803,Nothoprocta taczanowskii
ott332613,Nothoprocta ornata
ott402446,Nothoprocta perdicaria
ott292464,Nothoprocta cinerascens
ott3600805,Nothoprocta pentlandii
ott3600806,Nothoprocta curvirostris
ott3600801,Nothura boraquira
ott3600800,Nothura minor
ott892275,Nothura darwinii
ott892276,Nothura maculosa
ott3600811,Taoniscus nanus
ott292461,Eudromia elegans
ott784522,Eudromia formosa
ott599078,Tinamotis pentlandii
ott599077,Tinamotis ingoufi
ott589152,Casuarius casuarius
ott402459,Casuarius bennetti
ott3600826,Casuarius unappendiculatus
ott829513,Dromaius novaehollandiae
ott412972,Apteryx australis
ott165688,Apteryx rowi
ott748998,Apteryx mantelli
ott241844,Apteryx owenii
ott241836,Apteryx haastii
ott767829,Anhima cornuta
ott860132,Chauna torquata
ott241848,Chauna chavaria
ott714464,Anseranas semipalmata
ott737607,Dendrocygna guttata
ott662615,Dendrocygna eytoni
ott662622,Dendrocygna viduata
ott662608,Dendrocygna autumnalis
ott662604,Dendrocygna arborea
ott662618,Dendrocygna bicolor
ott662612,Dendrocygna arcuata
ott737604,Dendrocygna javanica
ott539138,Thalassornis leuconotus
ott190897,Anser indicus
ott166688,Anser canagicus
ott190878,Anser caerulescens
ott767830,Anser rossii
ott190887,Anser anser
ott190892,Anser cygnoides
ott430239,Anser albifrons
ott691333,Anser erythropus
ott325140,Anser fabalis
ott3595909,Anser serrirostris
ott970372,Anser brachyrhynchus
ott135287,Branta bernicla
ott799124,Branta leucopsis
ott972531,Branta hutchinsii
ott714461,Branta canadensis
ott767835,Branta sandvicensis
ott799106,Branta ruficollis
ott714459,Cereopsis novaehollandiae
ott962771,Stictonetta naevosa
ott140301,Cyanochen cyanoptera
ott140314,Cygnus olor
ott140312,Cygnus atratus
ott318892,Cygnus melancoryphus
ott870606,Cygnus buccinator
ott207360,Cygnus columbianus
ott817994,Cygnus cygnus
ott140305,Coscoroba coscoroba
ott88385,Sarkidiornis melanotos
ott5859876,Sarkidiornis sylvicola
ott552056,Pteronetta hartlaubii
ott88391,Oressochen jubatus
ott140307,Oressochen melanopterus
ott140309,Chloephaga picta
ott196652,Chloephaga hybrida
ott332099,Chloephaga poliocephala
ott196647,Chloephaga rubidiceps
ott522863,Radjah radjah
ott693339,Alopochen aegyptiaca
ott6520262,Alopochen mauritiana
ott3595947,Alopochen kervazoi
ott282323,Tadorna ferruginea
ott857011,Tadorna cana
ott282327,Tadorna tadornoides
ott166697,Tadorna variegata
ott30847,Tadorna tadorna
ott3595902,Tadorna cristata
ott822327,Plectropterus gambensis
ott822326,Tachyeres patachonicus
ott386305,Tachyeres pteneres
ott822329,Tachyeres brachypterus
ott822325,Tachyeres leucocephalus
ott552046,Lophonetta specularioides
ott552042,Speculanas specularis
ott714469,Cairina moschata
ott436835,Nettapus pulchellus
ott436833,Nettapus coromandelianus
ott822330,Nettapus auritus
ott552044,Callonetta leucophrys
ott765195,Aix sponsa
ott765197,Aix galericulata
ott436829,Chenonetta jubata
ott3595898,Chenonetta finschi
ott30845,Amazonetta brasiliensis
ott423364,Hymenolaimus malacorhynchos
ott196654,Merganetta armata
ott3595964,Salvadorina waigiuensis
ott1086566,Sibirionetta formosa
ott604176,Spatula querquedula
ott82424,Spatula hottentota
ott30854,Spatula versicolor
ott604186,Spatula puna
ott82415,Spatula discors
ott911468,Spatula cyanoptera
ott604173,Spatula platalea
ott604189,Spatula smithii
ott962755,Spatula rhynchotis
ott656794,Spatula clypeata
ott30856,Mareca strepera
ott82420,Mareca falcata
ott765180,Mareca penelope
ott656788,Mareca americana
ott604188,Mareca sibilatrix
ott6520322,Mareca marecula
ott30858,Anas sparsa
ott30855,Anas undulata
ott604172,Anas melleri
ott962757,Anas superciliosa
ott339494,Anas laysanensis
ott133895,Anas wyvilliana
ott604175,Anas luzonica
ott604182,Anas poecilorhyncha
ott30850,Anas zonorhyncha
ott765167,Anas platyrhynchos
ott82410,Anas diazi
ott604178,Anas rubripes
ott82422,Anas fulvigula
ott765188,Anas capensis
ott656778,Anas bahamensis
ott82414,Anas erythrorhyncha
ott855474,Anas acuta
ott3595905,Anas eatoni
ott82421,Anas georgica
ott656799,Anas crecca
ott770733,Anas andium
ott911469,Anas flavirostris
ott3595907,Anas theodori
ott3595906,Anas albogularis
ott82425,Anas gibberifrons
ott282358,Anas gracilis
ott282355,Anas castanea
ott656779,Anas bernieri
ott656791,Anas aucklandica
ott877771,Anas nesiotis
ott656784,Anas chlorotis
ott1082830,Malacorhynchus membranaceus
ott552052,Marmaronetta angustirostris
ott3595948,Rhodonessa caryophyllacea
ott30843,Asarcornis scutulata
ott693335,Netta rufina
ott822334,Netta erythrophthalma
ott857019,Netta peposaca
ott832938,Aythya valisineria
ott693332,Aythya americana
ott817989,Aythya ferina
ott1044563,Aythya collaris
ott789865,Aythya nyroca
ott3595901,Aythya innotata
ott3595900,Aythya baeri
ott962759,Aythya australis
ott817992,Aythya fuligula
ott3595899,Aythya novaeseelandiae
ott1044561,Aythya marila
ott1044556,Aythya affinis
ott1050966,Polysticta stelleri
ott526047,Camptorhynchus labradorius
ott430245,Somateria fischeri
ott633262,Somateria spectabilis
ott785961,Somateria mollissima
ott679317,Histrionicus histrionicus
ott972536,Melanitta perspicillata
ott972541,Melanitta fusca
ott5560147,Melanitta deglandi
ott6520321,Melanitta stejnegeri
ott948668,Melanitta nigra
ott5560148,Melanitta americana
ott316879,Clangula hyemalis
ott654820,Bucephala albeola
ott166683,Bucephala clangula
ott780952,Bucephala islandica
ott166692,Mergellus albellus
ott809009,Lophodytes cucullatus
ott3595918,Mergus australis
ott88388,Mergus merganser
ott3595919,Mergus octosetaceus
ott662625,Mergus serrator
ott271787,Mergus squamatus
ott317736,Heteronetta atricapilla
ott892281,Nomonyx dominicus
ott88378,Oxyura jamaicensis
ott245432,Oxyura ferruginea
ott579099,Oxyura leucocephala
ott579110,Oxyura maccoa
ott88380,Oxyura vittata
ott432044,Oxyura australis
ott432041,Biziura lobata
ott570956,Alectura lathami
ott352749,Aepypodius arfakianus
ott3596026,Aepypodius bruijnii
ott3596027,Talegalla cuvieri
ott176333,Talegalla fuscirostris
ott3596028,Talegalla jobiensis
ott109888,Leipoa ocellata
ott750781,Macrocephalon maleo
ott750774,Eulipoa wallacei
ott227315,Megapodius pritchardii
ott3596029,Megapodius laperouse
ott3596032,Megapodius nicobariensis
ott255470,Megapodius cumingii
ott3596031,Megapodius bernsteinii
ott750772,Megapodius tenimberensis
ott837568,Megapodius freycinet
ott3596033,Megapodius geelvinkianus
ott570964,Megapodius eremita
ott227314,Megapodius layardi
ott227301,Megapodius decollatus
ott1014129,Megapodius reinwardt
ott109882,Ortalis vetula
ott520559,Ortalis cinereiceps
ott188785,Ortalis garrula
ott188779,Ortalis ruficauda
ott4947474,Ortalis erythroptera
ott4947471,Ortalis wagleri
ott209805,Ortalis poliocephala
ott488158,Ortalis canicollis
ott188783,Ortalis leucogastra
ott6520320,Ortalis columbiana
ott1061401,Ortalis guttata
